Record ID,Record Status,Manufacturer,Manufacturer Part Number,Legacy AIPN,Legacy AIPN Old,Legacy Description,Legacy Family,Legacy Datasheet,Import Source,Source Sheet,Duplicate Source Rows
PMR-000066,Imported - Pending Verification,Würth Elektronik,649003013322,,CON-P4.20-W2B-3pin-Plug-1-00,CONN RCPT HSG 3POS 4.20MM,CON,https://www.we-online.com/components/products/datasheet/649003013322.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000067,Imported - Pending Verification,Würth Elektronik,64900311122,,CON-P4.20-W2B-3pin-V-1-00,CONN HEADER VERT 3POS 4.2MM,CON,https://www.we-online.com/components/products/datasheet/64900311122.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000068,Imported - Pending Verification,Würth Elektronik,638263122003,,CON-P5.08-Blade-3pin-RA-00,WR-FAST_THT MALE RIGHT ANGLED HE,CON,https://www.we-online.com/catalog/datasheet/638263122003.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000069,Imported - Pending Verification,Wurth,638263222003,,CON-P5.08-Blade-3pin-V-00,WR-FAST_THT MALE VERTICAL HEADER,CON,https://www.we-online.com/catalog/datasheet/638263222003.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000070,Imported - Pending Verification,Wurth,620303124022,,CON-SMD-W2B-P2.00-3pin-v-00,CONN HEADER SMD 3POS 2MM,CON,https://www.we-online.com/catalog/datasheet/620303124022.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000071,Imported - Pending Verification,Würth Elektronik,691210910004,,CON-P2.54-TB-4pin-Clamp-00,TERM BLOCK 4P HORIZON 2.54MM PCB,CON,https://www.we-online.com/catalog/datasheet/691210910004.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000072,Imported - Pending Verification,Wurth,620304124022,,CON-SMD-W2B-P2.00-4pin-v-00,CONN HEADER SMD 4POS 2MM,CON,https://www.we-online.com/catalog/datasheet/620304124022.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000073,Imported - Pending Verification,Wurth,614104190121,,CON-THT-USBA-4p-H-1-00,CONN RCP USB2.0 TYPEA 4POS TH RA,CON,https://www.we-online.com/catalog/datasheet/614104190121.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000074,Imported - Pending Verification,Würth Elektronik,61300511121,,CON-P2.54-B2B-5pin-V-1-00,CONN HEADER VERT 5POS 2.54MM,CON,https://www.we-online.com/components/products/datasheet/61300511121.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000075,Imported - Pending Verification,AMP,20021121-00006C4LF,,,CONN HEADER SMD 6POS 1.27MM,CON,https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/boardwiretoboard/bwb_minitek127_btb.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000076,Imported - Pending Verification,Sullins Connector Solutions,NPTC061KFXC-RC,,CON-SMD-B2B-Fvert-P2.54-6pin-00,CONN HDR 6POS 0.1 TIN SMD,CON,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2900/NPxCxx1KFXx-RC%2010487-D.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000077,Imported - Pending Verification,Wurth,692122030100,,CON-SMD-USBA-9p-H-1-00,CONN RCPT USB3.0 TYPEA 9P SMD RA,CON,https://www.we-online.com/catalog/datasheet/692122030100.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000078,Imported - Pending Verification,GCT,USB4105-GF-A,,CON-SMD-USBC-Top-16+8-00,CONN RCP USB2.0 TYP C 16P SMD RA,CON,https://gct.co/files/specs/usb4105-spec.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000079,Imported - Pending Verification,GCT,USB4920-00-A,,CON-SMD-USBC-Top-16+8-2-00,"USB TYPE C, 2.0, 16P, RECEPTACLE",CON,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/8945/usb4920-spec.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000080,Imported - Pending Verification,Wurth,61002011921,,CON-SMD-B2B-Fvert-P2.54-20pin-00,"B2B Header (F), 2.54mm 1x20, SMD",CON,,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000081,Imported - Pending Verification,Hirose Electric Co Ltd,CX90MF-16P,,CON-SMD-USBC-MM-16+8-2-00,"USB-C (USB TYPE-C) USB 2.0 Receptacle Connector 24 (16+8 Dummy) Position Surface Mount, Right Angle",CON,https://www.hirose.com/en/product/document?clcode=CL0480-0985-0-00&productname=CX90MF-16P&series=CX&documenttype=SpecSheet&lang=en&documentid=CX90MF-16P_4800985000_Specsheet_ENG,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000082,Imported - Pending Verification,GCT,USB4085-GF-A,,CON-THT-USBC-16+8-1-00 | CON-SMD-USBC-Top-16+8-1-00,CONN RCPT USB2.0 TYPE C 16+8POS,CON,https://gct.co/files/specs/usb4085-spec.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,Yes
PMR-000083,Imported - Pending Verification,Amp,12401948E412A,,CON-SMD-USBC-24p-H-2-00,CONN RCP USB2.0 TYPC 24P BRD CUT,CON,https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/inputoutput/io_usb_2_0_type_c_lite.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000084,Imported - Pending Verification,SameSky,UJ32-C-V-G-FMT-2-P24,,CON-USBC-Strad-24p-H-PCB=0.8mm-00,CONN RCPT USB 3.2 TYPE C 24POS,CON,https://www.sameskydevices.com/product/resource/uj32-c-v-g-fmt-2-p24.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000085,Imported - Pending Verification,Molex,2169900001,,CON-SMD-USBC-MM-16+8-1-00,CONN RCP USB2.0 TYP C 24P SMD RA,CON,https://www.molex.com/webdocs/datasheets/pdf/en-us/2169900001_IO_CONNECTORS.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000086,Imported - Pending Verification,GCT,USB4110-GF-A,,CON-SMD-USBC-Top-16-7.35mm-00,CONN RCP USB2.0 TYP C 24P SMD RA,CON,https://gct.co/files/specs/usb4110-spec.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000087,Imported - Pending Verification,Hirose Electric Co Ltd,FH26W-45S-0.3SHW(60),,CON-SMD-FPC-45pin-P0.3mm-00,CONN FPC BOTTOM 45POS 0.3MM R/A,CON,https://www.hirose.com/product/document?clcode=CL0580-2401-1-60&productname=FH26W-13S-0.3SHW(60)&series=FH26&documenttype=Catalog&lang=en&documentid=D49355_en,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000088,Imported - Pending Verification,Molex,1040310811,,CON-SMD-uSDCage-10p-Push-Pull-1-00,CONN MICRO SD CARD R/A SMD,CON,https://www.molex.com/en-us/products/part-detail/1040310811?display=pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000089,Imported - Pending Verification,Würth Elektronik,693071010811,,CON-SMD-uSDCage-8+1p-Push-Push-1-00,CONN MICRO SD CARD R/A SMD,CON,https://www.we-online.com/catalog/datasheet/693071010811.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
PMR-000090,Imported - Pending Verification,Würth Elektronik,693072010801,,CON-SMD-uSDCage-8p-Hing-1-00,CONN MICRO SD CARD R/A SMD,CON,https://www.we-online.com/catalog/datasheet/693072010801.pdf,AIPN Parts Master.xlsx,My Lists Worksheet,No
